X,Y,Z,R,P,Y,Training epochs,Score,Max    possible,Percentage,Difference
0.1,0.0,0.1,0.0,0.0,0.1,1110000.0,470.951264500618,474,0.9935680685667047,3.048735499382019
0.0,0.0,0.1,0.0,0.0,0.1,1110000.0,471.28260612487793,474,0.9942671015292783,2.7173938751220703
0.1,0.0,0.0,0.0,0.0,0.1,1110000.0,37.63837730884552,474,0.07940585930136186,436.3616226911545
0.1,0.1,0.0,0.0,0.0,0.0,1110000.0,162.2131184116006,474,0.34222176880084515,311.7868815883994
0.0,0.1,0.0,0.1,0.0,0.1,1110000.0,78.77101495862007,474,0.16618357586206767,395.22898504137993
0.0,0.1,0.0,0.1,0.1,0.1,1110000.0,16.578326213359833,474,0.03497537175814311,457.42167378664016
0.1,0.1,0.1,0.0,0.1,0.0,1110000.0,233.38679164648056,474,0.4923771975664147,240.61320835351944
0.1,0.0,0.0,0.0,0.1,0.0,1110000.0,247.84031683206558,474,0.5228698667343156,226.15968316793442
0.1,0.0,0.1,0.1,0.1,0.0,1110000.0,47.483420982956886,474,0.10017599363493014,426.5165790170431
0.0,0.1,0.0,0.0,0.1,0.0,1110000.0,250.22717368602753,474,0.5279054297173577,223.77282631397247
0.1,0.0,0.1,0.1,0.0,0.0,1110000.0,66.49043767154217,474,0.14027518496105942,407.50956232845783
0.0,0.1,0.1,0.0,0.0,0.0,1110000.0,473.19553768634796,474,0.998302822123097,0.8044623136520386
0.0,0.0,0.0,0.1,0.1,0.1,1110000.0,13.319005489349365,474,0.028099167699049295,460.68099451065063
0.0,0.0,0.1,0.0,0.1,0.0,1110000.0,67.14131540060043,474,0.14164834472700513,406.85868459939957
0.1,0.1,0.1,0.1,0.0,0.0,1110000.0,71.69314354658127,474,0.15125135769320944,402.30685645341873
0.0,0.1,0.1,0.1,0.1,0.1,1110000.0,54.308120638132095,474,0.11457409417327447,419.6918793618679
0.0,0.1,0.1,0.1,0.0,0.1,1110000.0,72.18224753439426,474,0.1522832226464014,401.81775246560574
0.1,0.1,0.1,0.0,0.0,0.0,1110000.0,472.73460483551025,474,0.9973303899483339,1.265395164489746
0.0,0.1,0.1,0.0,0.1,0.1,1110000.0,65.90269707143307,474,0.1390352258890993,408.09730292856693
0.1,0.1,0.0,0.1,0.1,0.1,1110000.0,14.42592179775238,474,0.030434434172473376,459.5740782022476
0.1,0.0,0.0,0.0,0.1,0.1,1110000.0,71.61668198369443,474,0.15109004637910217,402.38331801630557
0.0,0.0,0.1,0.1,0.1,0.1,1110000.0,51.56266641616821,474,0.10878199665858272,422.4373335838318
0.0,0.0,0.0,0.1,0.0,0.0,1110000.0,254.9650024175644,474,0.5379008489822034,219.0349975824356
0.1,0.0,0.0,0.1,0.0,0.0,1110000.0,250.23569786548615,474,0.5279234132183253,223.76430213451385
0.1,0.1,0.0,0.0,0.1,0.1,1110000.0,70.80125963687897,474,0.1493697460693649,403.19874036312103
0.0,0.0,0.1,0.1,0.1,0.0,1110000.0,51.56266641616821,474,0.10878199665858272,422.4373335838318
0.1,0.0,0.0,0.1,0.1,0.0,1110000.0,77.68733202666044,474,0.16389732495076043,396.31266797333956
0.0,0.0,0.0,0.1,0.1,0.0,1110000.0,255.00001406669617,474,0.537974713220878,218.99998593330383
0.0,0.1,0.0,0.1,0.1,0.0,1110000.0,83.06588833034039,474,0.17524449014839744,390.9341116696596
0.0,0.0,0.1,0.1,0.0,0.0,1110000.0,66.88365837186575,474,0.14110476449760706,407.11634162813425
0.1,0.1,0.0,0.0,0.1,0.0,1110000.0,70.76438921689987,474,0.14929196037320647,403.2356107831001
0.0,0.0,0.1,0.1,0.0,0.1,1110000.0,66.88365837186575,474,0.14110476449760706,407.11634162813425
0.0,0.0,0.1,0.0,0.1,0.1,1110000.0,67.0576143860817,474,0.14147176030818923,406.9423856139183
0.0,0.1,0.1,0.0,0.0,0.1,1110000.0,473.138764500618,474,0.9981830474696581,0.861235499382019
0.0,0.0,0.0,0.0,0.1,0.1,1110000.0,75.6995874941349,474,0.1597037710846728,398.3004125058651
